number of dice,iteration,score
1,0,4
1,1,2
1,2,3
1,3,2
1,4,1
1,5,4
1,6,3
1,7,4
1,8,1
1,9,3
1,10,2
1,11,3
1,12,1
1,13,2
1,14,2
1,15,1
1,16,1
1,17,1
1,18,4
1,19,3
1,20,3
1,21,3
1,22,3
1,23,4
1,24,2
1,25,2
1,26,4
1,27,3
1,28,2
1,29,3
1,30,4
1,31,3
1,32,3
1,33,2
1,34,2
1,35,1
1,36,1
1,37,3
1,38,1
1,39,2
1,40,3
1,41,2
1,42,3
1,43,1
1,44,2
1,45,2
1,46,4
1,47,3
1,48,4
1,49,2
1,50,3
1,51,1
1,52,3
1,53,1
1,54,2
1,55,1
1,56,2
1,57,3
1,58,3
1,59,3
1,60,4
1,61,3
1,62,3
1,63,3
1,64,1
1,65,2
1,66,4
1,67,2
1,68,4
1,69,2
1,70,2
1,71,1
1,72,2
1,73,3
1,74,2
1,75,3
1,76,1
1,77,4
1,78,3
1,79,4
1,80,3
1,81,2
1,82,3
1,83,2
1,84,3
1,85,4
1,86,4
1,87,2
1,88,3
1,89,2
1,90,1
1,91,1
1,92,1
1,93,1
1,94,1
1,95,2
1,96,4
1,97,1
1,98,3
1,99,2
1,100,3
1,101,2
1,102,2
1,103,1
1,104,2
1,105,4
1,106,4
1,107,3
1,108,1
1,109,3
1,110,3
1,111,4
1,112,3
1,113,2
1,114,2
1,115,3
1,116,2
1,117,3
1,118,1
1,119,4
1,120,3
1,121,3
1,122,2
1,123,3
1,124,2
1,125,3
1,126,4
1,127,4
1,128,4
1,129,2
1,130,1
1,131,2
1,132,4
1,133,4
1,134,3
1,135,3
1,136,2
1,137,2
1,138,4
1,139,2
1,140,2
1,141,2
1,142,2
1,143,3
1,144,2
1,145,3
1,146,1
1,147,1
1,148,2
1,149,1
1,150,4
1,151,4
1,152,1
1,153,2
1,154,2
1,155,2
1,156,3
1,157,2
1,158,2
1,159,4
1,160,2
1,161,2
1,162,4
1,163,2
1,164,3
1,165,1
1,166,3
1,167,1
1,168,2
1,169,3
1,170,3
1,171,3
1,172,2
1,173,1
1,174,3
1,175,2
1,176,2
1,177,2
1,178,3
1,179,4
1,180,2
1,181,3
1,182,4
1,183,3
1,184,2
1,185,3
1,186,2
1,187,4
1,188,4
1,189,2
1,190,2
1,191,2
1,192,3
1,193,3
1,194,3
1,195,2
1,196,2
1,197,4
1,198,3
1,199,4
1,200,3
1,201,3
1,202,1
1,203,3
1,204,1
1,205,4
1,206,3
1,207,2
1,208,1
1,209,2
1,210,2
1,211,4
1,212,3
1,213,4
1,214,3
1,215,4
1,216,2
1,217,1
1,218,1
1,219,3
1,220,2
1,221,2
1,222,2
1,223,3
1,224,3
1,225,2
1,226,2
1,227,3
1,228,3
1,229,3
1,230,4
1,231,3
1,232,2
1,233,3
1,234,3
1,235,3
1,236,2
1,237,3
1,238,2
1,239,2
1,240,2
1,241,2
1,242,2
1,243,1
1,244,4
1,245,4
1,246,3
1,247,2
1,248,4
1,249,2
1,250,2
1,251,2
1,252,1
1,253,2
1,254,2
1,255,3
1,256,3
1,257,2
1,258,2
1,259,2
1,260,2
1,261,2
